﻿Time,FlowPath,Action,Target,Value,Status,Screenshot,Error
17:12:03,System,Start,Workflow,ซองจดหมาย,Running,,
17:12:03,ซองจดหมาย,Click,เคหะร่มเกล้า 41 145 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:12:34,ซองจดหมาย,Click,เคหะร่มเกล้า 41 145 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520,,Failed,,Timeout waiting for button: เคหะร่มเกล้า 41 145 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520
17:12:34,System,Error,Process,Exception,Failed,,Timeout waiting for button: เคหะร่มเกล้า 41 145 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520

17:13:05,SYSTEM,START,=== NEW RUN ===,,,,
17:13:05,System,Start,Workflow,ซองจดหมาย,Running,,
17:13:05,ซองจดหมาย,ReadText,เคหะร่มเกล้า 41,,Running,,
17:13:21,ซองจดหมาย,ReadText,เคหะร่มเกล้า 41,,Failed,,STOP_FLOW: ReadText failed. Element 'เคหะร่มเกล้า 41' not found.
17:13:21,System,Error,Process,Exception,Failed,,STOP_FLOW: ReadText failed. Element 'เคหะร่มเกล้า 41' not found.

17:18:51,SYSTEM,START,=== NEW RUN ===,,,,
17:18:51,System,Start,Workflow,ซองจดหมาย,Running,,
17:18:51,ซองจดหมาย,ReadText,หลวงแพ่ง 4,,Running,,
17:19:07,ซองจดหมาย,ReadText,หลวงแพ่ง 4,,Failed,,STOP_FLOW: ReadText failed. Element 'หลวงแพ่ง 4' not found.
17:19:07,System,Error,Process,Exception,Failed,,STOP_FLOW: ReadText failed. Element 'หลวงแพ่ง 4' not found.

17:19:28,SYSTEM,START,=== NEW RUN ===,,,,
17:19:28,System,Start,Workflow,ซองจดหมาย,Running,,
17:19:28,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:19:28,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:19:28,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:19:59,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Failed,,Timeout waiting for button: หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520
17:19:59,System,Error,Process,Exception,Failed,,Timeout waiting for button: หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520

17:20:19,SYSTEM,START,=== NEW RUN ===,,,,
17:20:19,System,Start,Workflow,ซองจดหมาย,Running,,
17:20:20,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:20:20,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:20:20,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:20:25,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:20:25,System,Finish,Workflow,ซองจดหมาย,Success,,

17:20:55,SYSTEM,START,=== NEW RUN ===,,,,
17:20:55,System,Start,Workflow,ซองจดหมาย,Running,,
17:20:55,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:20:55,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:20:55,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:20:55,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:20:55,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:21:00,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:21:00,System,Finish,Workflow,ซองจดหมาย,Success,,

17:21:11,SYSTEM,START,=== NEW RUN ===,,,,
17:21:11,System,Start,Workflow,ซองจดหมาย,Running,,
17:21:11,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:21:12,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:21:12,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:21:12,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:21:12,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:21:42,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Failed,,Timeout waiting for button: หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520
17:21:42,System,Error,Process,Exception,Failed,,Timeout waiting for button: หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520

17:51:47,SYSTEM,START,=== NEW RUN ===,,,,
17:51:47,System,Start,Workflow,ซองจดหมาย,Running,,
17:51:47,ซองจดหมาย,Click,รับฝากสิ่งของ,,Running,,
17:51:52,ซองจดหมาย,Click,รับฝากสิ่งของ,,Success,,
17:51:52,ซองจดหมาย,Click,AlternativeCaptureCommand,อ่านบัตรประชาชน,Running,,
17:51:57,ซองจดหมาย,Click,AlternativeCaptureCommand,อ่านบัตรประชาชน,Success,,
17:51:57,ซองจดหมาย,Type,PhoneNumber,0151254789,Running,,
17:51:59,ซองจดหมาย,Type,PhoneNumber,0151254789,Success,,
17:51:59,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:52:04,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:52:04,ซองจดหมาย,Click,ซองจดหมาย,,Running,,
17:52:09,ซองจดหมาย,Click,ซองจดหมาย,,Success,,
17:52:09,ซองจดหมาย,Click,ของเหลว (LQ),,Running,,
17:52:14,ซองจดหมาย,Click,ของเหลว (LQ),,Success,,
17:52:14,ซองจดหมาย,Click,แบต (LI),,Running,,
17:52:19,ซองจดหมาย,Click,แบต (LI),,Success,,
17:52:19,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:52:24,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:52:24,ซองจดหมาย,Type,EG_WEIGHT_INPUT_ELEMENT,15,Running,,
17:52:26,ซองจดหมาย,Type,EG_WEIGHT_INPUT_ELEMENT,15,Success,,
17:52:26,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:52:31,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:52:31,ซองจดหมาย,Type,PostCodeDestination,10520,Running,,
17:52:33,ซองจดหมาย,Type,PostCodeDestination,10520,Success,,
17:52:33,ซองจดหมาย,Click,ShippingService_2596,,Running,,
17:53:03,ซองจดหมาย,Click,ShippingService_2596,,Failed,,Timeout waiting for button: ShippingService_2596
17:53:03,System,Error,Process,Exception,Failed,,Timeout waiting for button: ShippingService_2596

17:54:28,SYSTEM,START,=== NEW RUN ===,,,,
17:54:28,System,Start,Workflow,ซองจดหมาย,Running,,
17:54:28,ซองจดหมาย,Click,รับฝากสิ่งของ,,Running,,
17:54:33,ซองจดหมาย,Click,รับฝากสิ่งของ,,Success,,
17:54:33,ซองจดหมาย,Click,AlternativeCaptureCommand,อ่านบัตรประชาชน,Running,,
17:54:38,ซองจดหมาย,Click,AlternativeCaptureCommand,อ่านบัตรประชาชน,Success,,
17:54:38,ซองจดหมาย,Type,PhoneNumber,0151254789,Running,,
17:54:40,ซองจดหมาย,Type,PhoneNumber,0151254789,Success,,
17:54:40,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:54:45,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:54:45,ซองจดหมาย,Click,ซองจดหมาย,,Running,,
17:54:50,ซองจดหมาย,Click,ซองจดหมาย,,Success,,
17:54:50,ซองจดหมาย,Click,ของเหลว (LQ),,Running,,
17:54:55,ซองจดหมาย,Click,ของเหลว (LQ),,Success,,
17:54:55,ซองจดหมาย,Click,แบต (LI),,Running,,
17:55:00,ซองจดหมาย,Click,แบต (LI),,Success,,
17:55:00,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:55:05,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:55:05,ซองจดหมาย,Type,EG_WEIGHT_INPUT_ELEMENT,15,Running,,
17:55:07,ซองจดหมาย,Type,EG_WEIGHT_INPUT_ELEMENT,15,Success,,
17:55:07,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:55:12,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:55:12,ซองจดหมาย,Type,PostCodeDestination,10520,Running,,
17:55:14,ซองจดหมาย,Type,PostCodeDestination,10520,Success,,
17:55:14,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:55:19,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:55:19,ซองจดหมาย,Click,ShippingService_2596,,Running,,
17:55:28,ซองจดหมาย,Click,ShippingService_2596,,Success,,
17:55:28,ซองจดหมาย,Click,RegisteredToggleIcon,,Running,,
17:55:33,ซองจดหมาย,Click,RegisteredToggleIcon,,Success,,
17:55:33,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:55:37,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:55:37,ซองจดหมาย,Click,8.00,,Running,,
17:55:42,ซองจดหมาย,Click,8.00,,Success,,
17:55:42,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:55:47,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:55:47,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:55:52,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:55:52,ซองจดหมาย,Type,SearchField1,145/513,Running,,
17:55:54,ซองจดหมาย,Type,SearchField1,145/513,Success,,
17:55:54,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:55:59,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:55:59,ซองจดหมาย,Click,เคหะร่มเกล้า 64 145/513 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:56:03,ซองจดหมาย,Click,เคหะร่มเกล้า 64 145/513 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:56:03,ซองจดหมาย,Type,CustomerFirstName,คณาธิป,Running,,
17:56:06,ซองจดหมาย,Type,CustomerFirstName,คณาธิป,Success,,
17:56:06,ซองจดหมาย,Type,CustomerLastName,อมรนาค,Running,,
17:56:09,ซองจดหมาย,Type,CustomerLastName,อมรนาค,Success,,
17:56:09,ซองจดหมาย,Type,PhoneNumber,0955374001,Running,,
17:56:11,ซองจดหมาย,Type,PhoneNumber,0955374001,Success,,
17:56:11,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:56:16,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:56:16,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:56:20,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:56:20,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:56:25,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:56:25,ซองจดหมาย,Click,No,ไม่,Running,,
17:56:30,ซองจดหมาย,Click,No,ไม่,Success,,
17:56:30,ซองจดหมาย,Click,รับเงิน,รับเงิน,Running,,
17:56:35,ซองจดหมาย,Click,รับเงิน,รับเงิน,Success,,
17:56:35,ซองจดหมาย,Click,เงินสด,,Running,,
17:56:40,ซองจดหมาย,Click,เงินสด,,Success,,
17:56:40,ซองจดหมาย,Type,CashPayInCurrencyInput,21.00,Running,,
17:56:42,ซองจดหมาย,Type,CashPayInCurrencyInput,21.00,Success,,
17:56:42,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Running,,
17:56:47,ซองจดหมาย,Click,LocalCommand_Submit,ถัดไป,Success,,
17:56:47,System,Finish,Workflow,ซองจดหมาย,Success,,
